PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41626971","Network meta-analysis made simple: A composite likelihood approach","Liu YL, Zhang B, Chu H, Chen Y.","Res Synth Methods. 2025 Mar;16(2):272-290. doi: 10.1017/rsm.2024.12. Epub 2025 Mar 17.","Liu YL","Res Synth Methods","2025","2026/02/02","PMC12527528","","10.1017/rsm.2024.12"
"41626967","Methods for information-sharing in network meta-analysis: Implications for inference and policy","Nikolaidis GF, Woods B, Palmer S, Bujkiewicz S, Soares MO.","Res Synth Methods. 2025 Mar;16(2):291-307. doi: 10.1017/rsm.2024.17. Epub 2025 Mar 10.","Nikolaidis GF","Res Synth Methods","2025","2026/02/02","PMC12527489","","10.1017/rsm.2024.17"
"41626954","Tipping point analysis in network meta-analysis","Wang Z, Murray TA, Han W, Lin L, Siegel LK, Chu H.","Res Synth Methods. 2025 Sep;16(5):797-812. doi: 10.1017/rsm.2025.24. Epub 2025 Jun 16.","Wang Z","Res Synth Methods","2025","2026/02/02","PMC12527527","NIHMS2109496","10.1017/rsm.2025.24"
"41626931","Treatment recommendations based on network meta-analysis: Rules for risk-averse decision-makers","Ades AE, Davies AL, Phillippo DM, Pedder H, Thom H, Downing B, Caldwell DM, Welton NJ.","Res Synth Methods. 2025 May;16(3):550-568. doi: 10.1017/rsm.2025.17.","Ades AE","Res Synth Methods","2025","2026/02/02","PMC12527546","","10.1017/rsm.2025.17"
"41626918","One-step parametric network meta-analysis models using the exact likelihood that allow for time-varying treatment effects","Campbell H, Maciel D, Chan K, Jansen JP, Klijn S, Towle K, Malcolm B, Cope S.","Res Synth Methods. 2025 Jul;16(4):650-671. doi: 10.1017/rsm.2025.21. Epub 2025 May 15.","Campbell H","Res Synth Methods","2025","2026/02/02","PMC12527511","","10.1017/rsm.2025.21"
"41626917","An investigation of the impact of using contrast- and arm-synthesis models for network meta-analysis","Karahalios A, White IR, Turner SL, Salanti G, Herbison GP, Veroniki AA, Nikolakopoulou A, McKenzie JE.","Res Synth Methods. 2025 Jul;16(4):631-649. doi: 10.1017/rsm.2025.18. Epub 2025 Apr 25.","Karahalios A","Res Synth Methods","2025","2026/02/02","PMC12527487","","10.1017/rsm.2025.18"
"41626894","Lord's Paradox and two network meta-analysis models","Tu YK, Hodges JS.","Res Synth Methods. 2026 Jan;17(1):111-122. doi: 10.1017/rsm.2025.10036. Epub 2025 Sep 18.","Tu YK","Res Synth Methods","2026","2026/02/02","PMC12823209","","10.1017/rsm.2025.10036"
"41623375","Comparing efficacy and safety of oral drugs in treatment of hyperthyroidism: a systematic review and network meta-analysis","Zhang H, Lin M, Zhang P, Zhao D, Ma X, Fu Y.","PeerJ. 2026 Jan 28;14:e20403. doi: 10.7717/peerj.20403. eCollection 2026.","Zhang H","PeerJ","2026","2026/02/02","PMC12860280","","10.7717/peerj.20403"
"41619066","Comparative efficacy of different interventions on circulating factors in sarcopenia individuals: a systematic review and network meta-analysis","Yang C, Yi Q, Lv X, Hu W, Guo X, Zhang J.","Aging Clin Exp Res. 2026 Jan 31;38(1):61. doi: 10.1007/s40520-025-03295-y.","Yang C","Aging Clin Exp Res","2026","2026/01/31","","","10.1007/s40520-025-03295-y"
"41619052","Radiation therapy combined with tyrosine kinase inhibitors in 826 patients with HER2-positive breast cancer brain metastases: a systematic review and network meta-analysis","Zare A, Khaboushan AS, Mohammadzadeh I, Mortezaei A, Zare A, Hajikarimloo B, Ghalehtaki R, Park DJ, Chang SD.","Neurosurg Rev. 2026 Jan 31;49(1):182. doi: 10.1007/s10143-025-04097-6.","Zare A","Neurosurg Rev","2026","2026/01/31","","","10.1007/s10143-025-04097-6"
"41618084","Comparative Effectiveness of Acupoint Stimulation Therapies for Cancer-Related Fatigue: A Network Meta-Analysis","Chou HC, Konara Mudiyanselage SP, Tang CC, Chen SC, Fang SY, Lin MF.","Worldviews Evid Based Nurs. 2026 Feb;23(1):e70104. doi: 10.1111/wvn.70104.","Chou HC","Worldviews Evid Based Nurs","2026","2026/01/30","","","10.1111/wvn.70104"
"41617233","Digital versus face-to-face gut-directed psychotherapy for irritable bowel syndrome: a protocol of systematic review and network meta-analysis","Zhao Y, Wan R, Li N, Thitinun B, Lai R, Hou Y, Zeng X, Zhang Y, Chen X, Zheng Q, Li Y.","BMJ Open. 2026 Jan 30;16(1):e104923. doi: 10.1136/bmjopen-2025-104923.","Zhao Y","BMJ Open","2026","2026/01/30","PMC12863313","","10.1136/bmjopen-2025-104923"
"41596262","Agent- and Dose-Specific Intestinal Obstruction Safety of GLP-1 Receptor Agonists and SGLT2 Inhibitors: A Network Meta-Analysis of Randomized Trials","Chen JJ, Hsu CW, Hung CM, Suen MW, Wang HY, Yang WC, Stubbs B, Chen YW, Chen TY, Lei WT, Carvalho AF, Hsu SP, Shiue YL, Zeng BY, Li CT, Su KP, Liang CS, Zeng BS, Tseng PT.","Int J Mol Sci. 2026 Jan 7;27(2):608. doi: 10.3390/ijms27020608.","Chen JJ","Int J Mol Sci","2026","2026/01/28","PMC12841245","","10.3390/ijms27020608"
"41587762","Methods of induction of labour: a network meta-analysis","Rattanakanokchai S, Gallos ID, Kietpeerakool C, Eamudomkarn N, Show KL, Tin KN, Oladapo OT, Chou D, Mol BWJ, Li W, Lumbiganon P, Coomarasamy A, Price MJ.","Cochrane Database Syst Rev. 2026 Jan 27;1(1):CD015234. doi: 10.1002/14651858.CD015234.pub2.","Rattanakanokchai S","Cochrane Database Syst Rev","2026","2026/01/26","PMC12834601","","10.1002/14651858.CD015234.pub2"
"41586921","Comparative efficacy of reinforced suturing, transanal drainage tube, and no additional intervention in preventing anastomotic leakage after rectal cancer surgery: a network meta-analysis","Lan K, Zeng H, Xue X, Liao B, Wu B, Lin S, Xu D.","Int J Colorectal Dis. 2026 Jan 26;41(1):45. doi: 10.1007/s00384-026-05085-y.","Lan K","Int J Colorectal Dis","2026","2026/01/26","PMC12835066","","10.1007/s00384-026-05085-y"
"41585950","The Efficacy and Safety of Four Novel PCSK9 Monoclonal Antibodies in Patients With Hypercholesterolemia: A Systematic Review With Network Meta-Analysis and Trial Sequential Analysis","Wang S, Li C, Fan D.","Cardiovasc Ther. 2026 Jan 24;2026:6345873. doi: 10.1155/cdr/6345873. eCollection 2026.","Wang S","Cardiovasc Ther","2026","2026/01/26","PMC12831481","","10.1155/cdr/6345873"
"41585458","Sex differences in the efficacy and tolerability of antipsychotic drugs in people with an acute exacerbation of schizophrenia: protocol for an individual-participant-data, dose-response, network meta-analysis","Siafis S, Furukawa Y, Schneider-Thoma J, Nomura N, Fares-Otero NE, Storosum BWC, Zantvoord JB, Schwarz C, Schulz J, Naiser H, Möhrmann KH, Priller J, Davis JM, Efthimiou O, Salanti G, Leucht S.","F1000Res. 2025 Sep 23;14:967. doi: 10.12688/f1000research.169873.1. eCollection 2025.","Siafis S","F1000Res","2025","2026/01/26","PMC12824477","","10.12688/f1000research.169873.1"
"41577348","Efficacy and safety of non-pharmacological therapies for irritable bowel syndrome with diarrhoea: protocol for systematic review and network meta-analysis","Liu Y, Yan X, Yang J, Zhang D, Fang Y, Huang J, Zhu M, Li L, Zhang T, Zhang Q, Jiang F.","BMJ Open. 2026 Jan 23;16(1):e105579. doi: 10.1136/bmjopen-2025-105579.","Liu Y","BMJ Open","2026","2026/01/23","PMC12853473","","10.1136/bmjopen-2025-105579"
"41573193","Comparison of the efficacy of antidiabetic agents in type 2 diabetes with MASLD: a network meta-analysis","Shao X, You J, Zhang H, Jiang X.","Front Endocrinol (Lausanne). 2026 Jan 7;16:1659740. doi: 10.3389/fendo.2025.1659740. eCollection 2025.","Shao X","Front Endocrinol (Lausanne)","2026","2026/01/23","PMC12819300","","10.3389/fendo.2025.1659740"
"41569783","The Comparative Efficacy of Treatments for Cervicogenic Headache: A Systematic Review and Network Meta-Analysis of Randomised Controlled Trials","Koonalinthip N, Koonalintip P, Stonsaovapak C.","Eur J Pain. 2026 Feb;30(2):e70219. doi: 10.1002/ejp.70219.","Koonalinthip N","Eur J Pain","2026","2026/01/22","","","10.1002/ejp.70219"
"41567770","Comparative effectiveness of traditional Chinese exercises for knee osteoarthritis: a systematic review and Bayesian network meta-analysis","Li Y, Zhai Z, Guo B, Liu Y, An Z, Zhai Q.","Front Public Health. 2026 Jan 6;13:1710610. doi: 10.3389/fpubh.2025.1710610. eCollection 2025.","Li Y","Front Public Health","2026","2026/01/22","PMC12815747","","10.3389/fpubh.2025.1710610"
"41567215","Tislelizumab efficacy and safety compared to other anti-PD-1s: a network meta-analysis of first-line therapies for unresectable, locally advanced or metastatic esophageal squamous cell carcinoma","Ajani JA, Smyth E, Tougeron D, Jung HA, Tang W, Steenkamp J, Prentiss E, Coaquira Castro J, Szafranski K, Zhan L.","Front Immunol. 2026 Jan 6;16:1657085. doi: 10.3389/fimmu.2025.1657085. eCollection 2025.","Ajani JA","Front Immunol","2026","2026/01/22","PMC12816255","","10.3389/fimmu.2025.1657085"
"41564645","Components of cognitive-behavioral interventions to prevent the onset of depression among the high-risk population: a systematic review and component network meta-analysis","Sakata M, Sahker E, Luo Y, Takayama T, Toyomoto R, Furukawa Y, Sugita S, Ito M, Tada M, Honda Y, Kishimoto S, Harrer M, Buntrock C, Sprenger AA, Miguel C, Cuijpers P, Furukawa TA.","Behav Res Ther. 2026 Feb;197:104960. doi: 10.1016/j.brat.2026.104960. Epub 2026 Jan 12.","Sakata M","Behav Res Ther","2026","2026/01/21","","","10.1016/j.brat.2026.104960"
"41564112","Excimer 308-Nm Light in the Combination Treatment of Vitiligo: A Systematic Review and Network Meta-Analysis","Liu Z, Ng WH, Morriss S, Liu ZF, Lin L, Xireaili F, Chew C.","Pigment Cell Melanoma Res. 2026 Jan;39(1):e70065. doi: 10.1111/pcmr.70065.","Liu Z","Pigment Cell Melanoma Res","2026","2026/01/21","","","10.1111/pcmr.70065"
"41560513","Endobronchial ultrasound-guided mediastinal biopsies for the diagnosis of mediastinal diseases: A network meta-analysis","Qi YJ, Zhang J, Salcedo Lobera E, Song QY, Zhong RH, Kontogianni K, Huang ZS, Ariza-Prota M, Gupta N, Madan M, Maturu VN, Pratibh Prasad V, Steinack C, Wu N, Gaisl T, Herth FJ, Fan Y.","Pulmonology. 2026 Dec;32(1):2593067. doi: 10.1080/25310429.2025.2593067. Epub 2026 Jan 20.","Qi YJ","Pulmonology","2026","2026/01/21","","","10.1080/25310429.2025.2593067"
"41559977","Comparative efficacy and safety of acupuncture and moxibustion in the treatment of postprostatectomy urinary incontinence: A systematic review and network meta-analysis","Tang Y, Cai Y, Xu F, Wang X, Ding J, Qiao R, Cheng P, Gao Z.","Medicine (Baltimore). 2026 Jan 16;105(3):e44085. doi: 10.1097/MD.0000000000044085.","Tang Y","Medicine (Baltimore)","2026","2026/01/21","PMC12826229","","10.1097/MD.0000000000044085"
"41556956","Exercise prescriptions for older adults with different degrees of cognitive impairment: A dose-response network meta-analysis","Zang W, Fang M, Xiao N, Wu J, Zhang Q, Mao X.","Clin Rehabil. 2026 Feb;40(2):154-170. doi: 10.1177/02692155251385219. Epub 2025 Oct 14.","Zang W","Clin Rehabil","2026","2026/01/20","","","10.1177/02692155251385219"
"41553764","Alcohol Consumption and Atrial Fibrillation Risk: An Overview of Systematic Reviews and Network Meta-Analysis","Hadi M, Saha S, Petrie D, Woode ME, Gerdtham UG.","Drug Alcohol Rev. 2026 Jan;45(1):e70089. doi: 10.1111/dar.70089.","Hadi M","Drug Alcohol Rev","2026","2026/01/19","","","10.1111/dar.70089"
"41550942","Efficacy and safety of calcineurin inhibitor therapy in lupus nephritis: a systematic review and network meta-analysis","Wu Y, Cai W, Yao Y, Zhang J.","Front Immunol. 2026 Jan 2;16:1670134. doi: 10.3389/fimmu.2025.1670134. eCollection 2025.","Wu Y","Front Immunol","2026","2026/01/19","PMC12808350","","10.3389/fimmu.2025.1670134"
"41550872","Comparative efficacy and safety of different SGLT2 inhibitor-based combination strategies in HFrEF: a systematic review and network meta-analysis","Jiang N, Zhang Y, Tang Y, Tan H.","Front Endocrinol (Lausanne). 2026 Jan 2;16:1742128. doi: 10.3389/fendo.2025.1742128. eCollection 2025.","Jiang N","Front Endocrinol (Lausanne)","2026","2026/01/19","PMC12807906","","10.3389/fendo.2025.1742128"
"41549108","Comparative efficacy of obicetrapib and anacetrapib in reducing low-density lipoprotein (LDL) levels: a network meta-analysis of clinical trials","Jaber AR, Abu Zayed J, Alabed Z, Zapen J, Ayesh H.","Daru. 2026 Jan 19;34(1):9. doi: 10.1007/s40199-026-00590-5.","Jaber AR","Daru","2026","2026/01/18","PMC12812799","","10.1007/s40199-026-00590-5"
"41548075","Comparative effects of pharmacological interventions in the prophylactic treatment of tension-type headache: systematic review and network meta-analysis","Tao QF, Hua C, Mou JJ, Xie CR, Wang ZZ, Chen BZ, Lin L, Li XY, Pantila K, Zheng H.","Ann Med. 2026 Dec;58(1):2616972. doi: 10.1080/07853890.2026.2616972. Epub 2026 Jan 18.","Tao QF","Ann Med","2026","2026/01/18","PMC12818289","","10.1080/07853890.2026.2616972"
"41546694","Efficacy and safety of CGRP monoclonal antibodies for migraine prevention in episodic migraine; a network Meta-analysis","Shakir I, Shahzad F, Shabbir A, Shahabuddin S, Shabbir H, Karamat S, Hulou S, Khalid AR, Ahmed SI.","Eur J Clin Pharmacol. 2026 Jan 17;82(2):27. doi: 10.1007/s00228-025-03934-3.","Shakir I","Eur J Clin Pharmacol","2026","2026/01/17","","","10.1007/s00228-025-03934-3"
"41545288","Telitacicept versus belimumab for the treatment of systemic lupus erythematosus: a network meta-analysis and cost-effectiveness analysis","Deng L, Wang H, Yuan D, Tan C, Peng Y, Yi L, Wen Z.","Lupus Sci Med. 2026 Jan 16;13(1):e001684. doi: 10.1136/lupus-2025-001684.","Deng L","Lupus Sci Med","2026","2026/01/16","PMC12820815","","10.1136/lupus-2025-001684"
"41539943","Efficacy and Safety of Pharmacological, Endoscopic, and Surgical Treatments for Obesity: A GRADE-Based Network Meta-Analysis","De Luca M, Cohen RV, Belluzzi A, Navarra G, Di Lorenzo N, Petry TBZ, Sbraccia P, Busetto L, Buscemi S, Barazzoni R, Ragghianti B, Mannucci E, Monami M.","Obesity (Silver Spring). 2026 Feb;34(2):279-293. doi: 10.1002/oby.70083. Epub 2026 Jan 15.","De Luca M","Obesity (Silver Spring)","2026","2026/01/15","PMC12850565","","10.1002/oby.70083"
"41539455","Clinical effect and contributing factors of acupuncture for limb motor dysfunction after ischemic stroke: A systematic review and exploratory network meta-analysis","Zhang TC, Luo ZL, Yuan J, Liao YS, Ruan MM, Yang TT, Wang HR, Yin ZH, Zhao L.","Complement Ther Med. 2026 Mar;96:103320. doi: 10.1016/j.ctim.2026.103320. Epub 2026 Jan 13.","Zhang TC","Complement Ther Med","2026","2026/01/15","","","10.1016/j.ctim.2026.103320"
"41537428","Anti-vascular endothelial growth factor (anti-VEGF) agents for neovascular age-related macular degeneration (nAMD): a network meta-analysis","Lucenteforte E, Ng SM, Saulle R, Hoad G, Schillinger R, Virgili G.","Cochrane Database Syst Rev. 2026 Jan 15;1(1):CD016298. doi: 10.1002/14651858.CD016298.","Lucenteforte E","Cochrane Database Syst Rev","2026","2026/01/15","PMC12805632","","10.1002/14651858.CD016298"
"41534986","IVUS, OCT, or Angiography as Guidance for PCI in Complex Coronary Artery Lesions: Network Meta-Analysis of Randomized Controlled Trials","Carvalho PEP, Antunes VLJ, Bittar de Pontes V, Gomes WF, Polachini Assunes Goncalves B, Caixeta A, Strepkos D, Alexandrou M, Mutlu D, Gibson CM, Stone GW, Bhatt DL, Windecker S, Patel MR, Angiolillo D, Mehran R, Valgimigli M, Costa MA, Sandoval Y, Brilakis ES, Lopes RD, Nascimento BR.","JACC Cardiovasc Interv. 2026 Jan 12;19(1):31-43. doi: 10.1016/j.jcin.2025.11.021.","Carvalho PEP","JACC Cardiovasc Interv","2026","2026/01/14","","","10.1016/j.jcin.2025.11.021"
"41534943","Comparative efficacy, safety and compliance with dual, triple and quadruple therapy as the first-line treatment regimens for Helicobacter pylori eradication: a systematic review and network meta-analysis","Taufiqqurrachman I, Syam AF, Maulahela H, Abdullah M, Matsumoto T, Miftahussurur M, Yamaoka Y.","BMJ Open Gastroenterol. 2026 Jan 14;13(1):e002037. doi: 10.1136/bmjgast-2025-002037.","Taufiqqurrachman I","BMJ Open Gastroenterol","2026","2026/01/14","PMC12815173","","10.1136/bmjgast-2025-002037"
"41534428","Efficacy of acupuncture combined with various traditional Chinese medicine therapies for peripheral facial paralysis: A systematic review and network meta-analysis","Li M, Liang W, Liang W, Zhang J, Lei X.","Am J Otolaryngol. 2026 Jan-Feb;47(1):104787. doi: 10.1016/j.amjoto.2026.104787. Epub 2026 Jan 9.","Li M","Am J Otolaryngol","2026","2026/01/14","","","10.1016/j.amjoto.2026.104787"
"41532768","A systematic literature review and (network) meta-analysis of the effectiveness of ceftolozane/tazobactam versus aminoglycosides/polymyxins and ceftazidime/avibactam for treating adult patients with multidrug-resistant Pseudomonas aeruginosa infections","Collings H, Stone M, Chrysostomou M, Hirst A, Waldenberg TE, Yucel E, Iodise T.","Antimicrob Agents Chemother. 2026 Feb 4;70(2):e0073525. doi: 10.1128/aac.00735-25. Epub 2026 Jan 14.","Collings H","Antimicrob Agents Chemother","2026","2026/01/14","","","10.1128/aac.00735-25"
"41530593","Efficacy and safety of dextromethorphan/quinidine in treating pseudobulbar affect in neurological disorders: A systematic review and dose-classified network meta-analysis","Muneer MA, Tariq I, Zulfiqar E, Saaki SS, Gupta I, Bokhari SMNA, Verma A, Mehta R, Sah R, Ahmed SI.","Neurol Sci. 2026 Jan 14;47(1):159. doi: 10.1007/s10072-025-08640-7.","Muneer MA","Neurol Sci","2026","2026/01/13","","","10.1007/s10072-025-08640-7"
"41529523","Cortical and peripheral neurostimulation to improve swallowing function, aspiration, and dysphagia severity in dysphagia management: A network meta-analysis of randomized controlled trials","Banda KJ, Chu H, Sung CM, Chen R, Su PY, Chang LF, Pien LC, Wang CY, Chou KR.","Clin Nutr. 2026 Feb;57:106567. doi: 10.1016/j.clnu.2025.106567. Epub 2025 Dec 30.","Banda KJ","Clin Nutr","2026","2026/01/13","","","10.1016/j.clnu.2025.106567"
"41529428","Efficacy and safety of fibroblast growth factor 21 analogs in metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: A systematic review and network meta-analysis","Abdeljawad MM, Hasan MT, Fareed A, Abouelmagd K, Abdelkader Saed SA, Ali S, Keshk M, Khan M, Taha NA, Taha AM.","J Pharmacol Exp Ther. 2026 Jan;393(1):103786. doi: 10.1016/j.jpet.2025.103786. Epub 2025 Dec 1.","Abdeljawad MM","J Pharmacol Exp Ther","2026","2026/01/13","","","10.1016/j.jpet.2025.103786"
"41527278","Comparative Efficacy of e-Health Interventions for Quality of Life in Patients With Cancer: A Network Meta-Analysis of Randomized Controlled Trials","Duan L, Zhang S, Yan Q, Chen Y, Su Y, Hu X.","Worldviews Evid Based Nurs. 2026 Feb;23(1):e70103. doi: 10.1111/wvn.70103.","Duan L","Worldviews Evid Based Nurs","2026","2026/01/13","","","10.1111/wvn.70103"
"41521864","Effectiveness and safety of therapies for patients with opioid use disorder: a systematic review and network meta-analysis","Kabra M, Srivastava T, Gautam R, Singh J, Oksanen J, MacDonald T, Lee K, Boyett B, Santoro B, Gupta A, Jong-Laird A, Ren S.","J Comp Eff Res. 2026 Feb;15(2):e250171. doi: 10.57264/cer-2025-0171. Epub 2026 Jan 12.","Kabra M","J Comp Eff Res","2026","2026/01/12","","","10.57264/cer-2025-0171"
"41520595","Comparative efficacy and safety of post-TKI treatments for advanced EGFR-mutant non-small-cell lung cancer: a systematic review and network meta-analysis","Wang Y, Zhang L, Zhan J, Wen L, Zhao X, Sun H, Chen X, Zhang Y, Chen G, Zhao Y, Huang Y, Fang W, Zhang L, Sun D, Yang Y.","Lung Cancer. 2026 Feb;212:108914. doi: 10.1016/j.lungcan.2026.108914. Epub 2026 Jan 8.","Wang Y","Lung Cancer","2026","2026/01/11","","","10.1016/j.lungcan.2026.108914"
"41513052","Efficacy of non-invasive brain stimulation in treatment-resistant schizophrenia: A systematic review and network meta-analysis","Tsui HKH, Law V, Wong CTW, Tse W, Lim HC, Zhuoma C, Lim KO, Kranz GS, Chan SKW.","Neurosci Biobehav Rev. 2026 Mar;182:106549. doi: 10.1016/j.neubiorev.2026.106549. Epub 2026 Jan 7.","Tsui HKH","Neurosci Biobehav Rev","2026","2026/01/09","","","10.1016/j.neubiorev.2026.106549"
"41506762","Optimal timing of induction of labour to improve maternal and perinatal outcomes: protocol for an individual participant data and network meta-analysis","Meacham H, Ona-Igbru A, McNeill R, Ajayi R, Pickering E, Grobman WA, Black M, Khalil A, Mccourt C, Miranda A, Mol BW, Walker K, Wilson A, Zamora J, Thangaratinam S, Allotey J.","BMJ Open. 2026 Jan 8;16(1):e112155. doi: 10.1136/bmjopen-2025-112155.","Meacham H","BMJ Open","2026","2026/01/08","","","10.1136/bmjopen-2025-112155"
"41504974","Which therapy works best for maternal depressive symptoms? A network meta-analysis of psychotherapeutic interventions","Öztürk H, Yüksel R, Balmumcu A.","Arch Womens Ment Health. 2026 Jan 8;29(1):14. doi: 10.1007/s00737-025-01658-y.","Öztürk H","Arch Womens Ment Health","2026","2026/01/08","PMC12783206","","10.1007/s00737-025-01658-y"
"41502380","Relative Efficacy of Immunomodulatory Monotherapies for Psoriasis of the Scalp: A Network Meta-Analysis Study","Gupta AK, Bamimore MA, Wang T, Piguet V, Talukder M.","J Cosmet Dermatol. 2026 Jan;25(1):e70662. doi: 10.1111/jocd.70662.","Gupta AK","J Cosmet Dermatol","2026","2026/01/08","PMC12780935","","10.1111/jocd.70662"
"41502049","The Relative Effects of Monotherapies for Psoriatic Nails: A Network Meta-Analysis Study","Gupta AK, Bamimore MA, Wang T, Talukder M.","J Cosmet Dermatol. 2026 Jan;25(1):e70657. doi: 10.1111/jocd.70657.","Gupta AK","J Cosmet Dermatol","2026","2026/01/08","PMC12780300","","10.1111/jocd.70657"
"41494781","Effects of lifestyle interventions in pregnancy on gestational diabetes: individual participant data and network meta-analysis","Allotey J, Coomar D, Ensor J, Ruiz-Calvo G, Boath A, Ogwulu CO, Monahan M, Kabeya V, Zheng M, McNeill R, Meacham H, Mahmoud G, Simpson SA, Hitman GA, Nirantharakumar K, Heslehurst N, Pelaez M, Tonstad S, Yeo S, Cecatti JG, Facchinetti F, Motahari-Tabari NS, Renault KM, Guelfi KJ, Jensen DM, Harrison C, Khomami MB, Calle-Pascual AL, McAuliffe FM, Hauner H, Barakat R, Geiker NRW, Vinter CA, Phelan S, Kinnunen TI, Kothari A, Teede H, Poston L, Betrán AP, Moss N, Iliodromiti S, Austin F, Roberts T, Zamora J, Riley RD, Thangaratinam S; i-WIP Collaborative Group.","BMJ. 2026 Jan 6;392:e084159. doi: 10.1136/bmj-2025-084159.","Allotey J","BMJ","2026","2026/01/06","PMC12771886","","10.1136/bmj-2025-084159"
"41493044","Novel Therapeutic Approach to Preserving or Reversing Pancreatic Islet Beta Cells in Patients With Type 1 Diabetes: A Bayesian Network Meta-Analysis of Comparative Efficacy","Zheng C, Lu S, Qiang D, Xu J, Xu Y.","Diabetes Metab Res Rev. 2026 Jan;42(1):e70120. doi: 10.1002/dmrr.70120.","Zheng C","Diabetes Metab Res Rev","2026","2026/01/06","","","10.1002/dmrr.70120"
